Key,Created [created],Resolved [resolutiondate],Status [status],Priority [priority],Fix Version/s,Environment,Component/s
DDR-53,2025-09-23T13:15:00,,Open,Critical,v1.3,UAT,UI
DDR-54,2025-09-24T10:20:00,2025-09-27T15:45:00,Resolved,High,v1.4,Prod,API
DDR-55,2025-09-25T09:40:00,,Open,Medium,v1.5,QA,Database
DDR-56,2025-09-26T14:30:00,,In Progress,Low,v1.2,UAT,UI
DDR-57,2025-09-27T08:50:00,2025-09-29T19:20:00,Closed,Medium,v1.3,Prod,Backend
DDR-58,2025-09-28T12:05:00,,Open,High,v1.4,QA,UI
DDR-59,2025-09-29T15:25:00,,Open,Low,v1.5,UAT,Database
DDR-60,2025-09-30T09:55:00,2025-10-02T16:10:00,Resolved,Critical,v1.2,Prod,API
DDR-61,2025-09-01T10:20:00,,Open,Medium,v1.3,QA,UI
DDR-62,2025-09-02T13:40:00,2025-09-05T18:25:00,Closed,Low,v1.4,Prod,Backend
DDR-63,2025-09-03T08:30:00,,In Progress,High,v1.5,UAT,Database
DDR-64,2025-09-04T11:15:00,,Open,Medium,v1.2,QA,API
DDR-65,2025-09-05T09:05:00,2025-09-07T14:55:00,Resolved,Low,v1.3,Prod,UI
DDR-66,2025-09-06T15:20:00,,Open,Critical,v1.4,UAT,Backend
DDR-67,2025-09-07T08:40:00,,Open,High,v1.5,QA,Database
DDR-68,2025-09-08T12:55:00,2025-09-10T17:35:00,Closed,Medium,v1.2,Prod,API
DDR-69,2025-09-09T10:25:00,,In Progress,Low,v1.3,UAT,UI
DDR-70,2025-09-10T13:50:00,,Open,High,v1.4,QA,Backend
DDR-71,2025-09-11T09:45:00,2025-09-13T16:40:00,Resolved,Critical,v1.5,Prod,Database
DDR-72,2025-09-12T14:35:00,,Open,Medium,v1.2,QA,UI
DDR-73,2025-09-13T08:20:00,,Open,Low,v1.3,UAT,Backend
DDR-74,2025-09-14T11:55:00,2025-09-16T18:10:00,Closed,High,v1.4,Prod,API
DDR-75,2025-09-15T09:15:00,,In Progress,Medium,v1.5,QA,Database
DDR-76,2025-09-16T12:45:00,,Open,Low,v1.2,UAT,UI
DDR-77,2025-09-17T08:30:00,2025-09-19T14:05:00,Resolved,Medium,v1.3,Prod,Backend
DDR-78,2025-09-18T13:10:00,,Open,Critical,v1.4,QA,UI
DDR-79,2025-09-19T09:50:00,,Open,High,v1.5,UAT,Database
DDR-80,2025-09-20T15:00:00,2025-09-22T19:30:00,Closed,Low,v1.2,Prod,API
DDR-81,2025-09-21T11:25:00,,Open,Medium,v1.3,QA,Backend
DDR-82,2025-09-22T08:55:00,,In Progress,Low,v1.4,UAT,UI
DDR-83,2025-09-23T14:05:00,2025-09-25T18:40:00,Resolved,High,v1.5,Prod,Database
DDR-84,2025-09-24T09:40:00,,Open,Medium,v1.2,QA,UI
DDR-85,2025-09-25T13:20:00,,Open,Low,v1.3,UAT,Backend
DDR-86,2025-09-26T10:15:00,2025-09-28T15:50:00,Closed,Critical,v1.4,Prod,API
DDR-87,2025-09-27T08:25:00,,Open,High,v1.5,QA,Database
DDR-88,2025-09-28T12:45:00,,In Progress,Medium,v1.2,UAT,UI
DDR-89,2025-09-29T09:35:00,2025-10-01T16:05:00,Resolved,Low,v1.3,Prod,Backend
DDR-90,2025-09-30T13:20:00,,Open,Critical,v1.4,QA,UI
DDR-91,2025-09-01T08:45:00,,Open,High,v1.5,UAT,Database
DDR-92,2025-09-02T14:25:00,2025-09-04T18:55:00,Closed,Medium,v1.2,Prod,API
DDR-93,2025-09-03T10:10:00,,In Progress,Low,v1.3,QA,Backend
DDR-94,2025-09-04T15:40:00,,Open,Medium,v1.4,UAT,UI
DDR-95,2025-09-05T09:55:00,2025-09-07T14:15:00,Resolved,High,v1.5,Prod,Database
DDR-96,2025-09-06T08:25:00,,Open,Low,v1.2,QA,UI
DDR-97,2025-09-07T13:30:00,,Open,Critical,v1.3,UAT,Backend
DDR-98,2025-09-08T09:20:00,2025-09-10T17:00:00,Closed,Medium,v1.4,Prod,API
DDR-99,2025-09-09T12:40:00,,Open,High,v1.5,QA,Database
DDR-100,2025-09-10T08:15:00,,In Progress,Low,v1.2,UAT,UI
